,error,hepothes,true
192,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,tensor([0.]),1
193,Please CALL 08712402578 immediately as there is an urgent message waiting for you,tensor([0.]),1
194,"WELL DONE! Your 4* Costa Del Sol Holiday or Ã¥Â£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, CostÃ¥Â£1.50/pm, Max10mins",tensor([0.]),1
195,Yup i'm free...,tensor([1.]),0
196,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,tensor([0.]),1
197,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",tensor([1.]),0
198,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,tensor([0.]),1
199,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,tensor([0.]),1
200,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",tensor([0.]),1
201,"Ur balance is now Ã¥Â£600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",tensor([0.]),1
202,Ur TONEXS subscription has been renewed and you have been charged Ã¥Â£4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,tensor([0.]),1
203,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,tensor([0.]),1
204,"When you get free, call me",tensor([1.]),0
205,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester",tensor([1.]),0
206,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,tensor([0.]),1
207,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,tensor([0.]),1
208,"\URGENT! This is the 2nd attempt to contact U!U have WON Ã¥Â£1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxÃ¥Â£7. 50\""""",tensor([0.]),1
209,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",tensor([0.]),1
210,"For ur chance to win a Ã¥Â£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",tensor([0.]),1
211,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,tensor([0.]),1
212,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,tensor([0.]),1
213,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 Ã¥Â£100 cash. Name the NEW US President? txt ans to 80082,tensor([0.]),1
214,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",tensor([1.]),0
215,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or Ã¥Â£10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",tensor([0.]),1
216,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com,tensor([0.]),1
217,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,tensor([0.]),1
218,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,tensor([0.]),1
219,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",tensor([1.]),0
220,Its worse if if uses half way then stops. Its better for him to complete it.,tensor([1.]),0
221,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",tensor([0.]),1
222,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",tensor([0.]),1
223,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,tensor([0.]),1
224,You can donate Ã¥Â£2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. Ã¥Â£2.50 will be added to your next bill,tensor([0.]),1
225,CDs 4u: Congratulations ur awarded Ã¥Â£500 of CD gift vouchers or Ã¥Â£125 gift guaranteed & Freeentry 2 Ã¥Â£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,tensor([0.]),1
226,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",tensor([1.]),0
227,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,tensor([0.]),1
228,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,tensor([0.]),1
229,WIN a Ã¥Â£200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 Ã¥Â£1.50perweeksub.,tensor([0.]),1
230,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",tensor([0.]),1
231,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8""",tensor([1.]),0
232,You have 1 new message. Please call 08715205273,tensor([0.]),1
233,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",tensor([0.]),1
234,PRIVATE! Your 2003 Account Statement for 078,tensor([0.]),1
235,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth Ã¥Â£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,tensor([0.]),1
236,"Fuuuuck I need to stop sleepin, sup",tensor([1.]),0
237,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,tensor([0.]),1
238,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,tensor([0.]),1
239,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,tensor([0.]),1
240,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,tensor([0.]),1
241,"Latest News! Police station toilet stolen, cops have nothing to go on!",tensor([0.]),1
242,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=trueÃ¥_C C RingtoneÃ¥_,tensor([0.]),1
243,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth Ã¥Â£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,tensor([0.]),1
244,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04,tensor([0.]),1
245,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p pÃ¥Â£3.99,tensor([0.]),1
246,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",tensor([1.]),0
247,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,tensor([0.]),1
